municipality,harvested_area,production,value,year,state
cotija,740.00,"5,332.00","67,452.50",2012.0,michoacan
erongaricuaro,392.00,"4,735.36","60,568.43",2012.0,michoacan
hidalgo,22.00,160.60,"1,381.16",2012.0,michoacan
huiramba,62.00,440.63,"6,019.34",2012.0,michoacan
irimbo,92.00,690.00,"5,865.00",2012.0,michoacan
jiquilpan,47.00,470.00,"5,853.64",2012.0,michoacan
jungapeo,23.50,194.75,"1,814.40",2012.0,michoacan
juarez,22.00,231.00,"2,841.15",2012.0,michoacan
los reyes,"2,780.00","30,054.00","396,144.34",2012.0,michoacan
madero,332.00,"1,826.00","17,894.80",2012.0,michoacan
maravatio,6.00,34.20,392.18,2012.0,michoacan
morelia,60.00,336.00,"3,091.20",2012.0,michoacan
nuevo parangaricutiro,"5,491.00","55,599.95","755,892.69",2012.0,michoacan
ocampo,37.50,320.95,"4,104.76",2012.0,michoacan
periban,"12,378.00","129,666.00","1,707,061.16",2012.0,michoacan
purepero,54.00,448.20,"5,899.43",2012.0,michoacan
patzcuaro,177.00,"1,608.05","21,580.95",2012.0,michoacan
querendaro,3.00,19.50,165.75,2012.0,michoacan
quiroga,57.00,514.77,"7,027.34",2012.0,michoacan
salvador escalante,"12,531.00","138,168.93","1,812,722.47",2012.0,michoacan
susupuato,166.50,"1,581.75","20,101.62",2012.0,michoacan
tacambaro,"13,142.00","158,696.13","2,045,323.40",2012.0,michoacan
tancitaro,"19,254.00","194,889.42","2,669,524.68",2012.0,michoacan
tangamandapio,611.00,"6,298.30","88,403.19",2012.0,michoacan
tangancicuaro,646.85,"6,468.50","84,802.04",2012.0,michoacan
taretan,735.00,"7,497.00","106,810.51",2012.0,michoacan
tarimbaro,20.00,100.00,950.00,2012.0,michoacan
tingambato,"2,200.00","21,395.00","288,577.78",2012.0,michoacan
tinguindin,"2,120.00","26,170.40","322,990.34",2012.0,michoacan
tocumbo,415.00,"4,400.50","54,144.41",2012.0,michoacan
turicato,"1,944.00","22,264.88","293,314.43",2012.0,michoacan
tuxpan,312.00,"2,563.60","24,164.14",2012.0,michoacan
tzintzuntzan,14.00,168.00,"2,293.10",2012.0,michoacan
uruapan,"12,459.00","127,075.47","1,752,646.52",2012.0,michoacan
zinapecuaro,53.00,297.50,"2,329.50",2012.0,michoacan
ziracuaretiro,"2,370.00","23,755.50","338,382.89",2012.0,michoacan
zitacuaro,"1,073.00","10,828.10","138,199.87",2012.0,michoacan
cuernavaca,120.00,"1,440.00","11,520.00",2012.0,morelos
huitzilac,0.40,3.60,29.52,2012.0,morelos
ocuituco,"1,455.00","14,840.00","112,437.50",2012.0,morelos
tepoztlan,34.00,367.20,"2,937.60",2012.0,morelos
tetela del volcan,"1,082.00","11,180.00","84,890.80",2012.0,morelos
tlalnepantla,224.00,"2,352.00","19,051.20",2012.0,morelos
tlayacapan,1.00,8.90,88.11,2012.0,morelos
totolapan,80.00,864.00,"6,998.40",2012.0,morelos
yautepec,9.00,87.30,868.64,2012.0,morelos
yecapixtla,478.00,"4,342.50","36,594.20",2012.0,morelos
ahuacatlan,4.50,63.00,504.00,2012.0,nayarit
amatlan de canas,0.00,0.00,0.00,2012.0,nayarit
bahia de banderas,1.00,6.30,33.39,2012.0,nayarit
compostela,7.00,53.55,310.59,2012.0,nayarit
ixtlan del rio,10.75,136.64,"1,093.12",2012.0,nayarit
jala,5.50,58.00,447.50,2012.0,nayarit
ruiz,6.00,36.00,148.50,2012.0,nayarit
san blas,527.00,"7,126.50","15,678.64",2012.0,nayarit
san pedro lagunillas,0.00,0.00,0.00,2012.0,nayarit
santa maria del oro,44.96,512.02,"4,096.16",2012.0,nayarit
tepic,"1,301.00","9,447.00","49,045.96",2012.0,nayarit
xalisco,"1,677.00","11,739.00","61,033.06",2012.0,nayarit
acatic,29.00,493.00,"8,834.56",2013.0,jalisco
acatlan de juarez,1.50,5.50,60.50,2013.0,jalisco
ahualulco de mercado,0.00,0.00,0.00,2013.0,jalisco
amacueca,2.00,12.00,102.00,2013.0,jalisco
ameca,36.00,360.00,"5,340.00",2013.0,jalisco
arandas,150.00,"2,704.50","39,933.00",2013.0,jalisco
atengo,46.00,266.80,"2,668.00",2013.0,jalisco
atenguillo,2.00,16.00,228.80,2013.0,jalisco
atotonilco el alto,95.00,"2,067.00","19,425.00",2013.0,jalisco
atoyac,2.00,23.00,241.50,2013.0,jalisco
autlan de navarro,67.00,348.40,"3,485.80",2013.0,jalisco
ayotlan,98.00,670.00,"7,092.30",2013.0,jalisco
ayutla,25.00,132.00,"1,413.60",2013.0,jalisco
cabo corrientes,12.00,34.20,288.62,2013.0,jalisco
chiquilistlan,166.30,"1,812.67","12,086.00",2013.0,jalisco
concepcion de buenos aires,700.00,"4,945.00","33,940.36",2013.0,jalisco
cuautitlan de garcia barragan,52.00,182.00,"1,874.36",2013.0,jalisco
degollado,38.00,354.00,"3,685.20",2013.0,jalisco
el arenal,24.00,204.00,"3,072.00",2013.0,jalisco
el limon,4.00,20.00,222.00,2013.0,jalisco
etzatlan,0.00,0.00,0.00,2013.0,jalisco
gomez farias,435.61,"4,852.70","37,313.69",2013.0,jalisco
ixtlahuacan del rio,35.00,210.00,"2,520.00",2013.0,jalisco
jesus maria,58.00,"1,061.40","19,105.20",2013.0,jalisco
jocotepec,0.00,0.00,0.00,2013.0,jalisco
la barca,0.10,0.10,1.31,2013.0,jalisco
la manzanilla de la paz,103.30,596.05,"4,068.58",2013.0,jalisco
magdalena,9.00,85.50,"1,341.50",2013.0,jalisco
mascota,26.00,234.00,"3,503.40",2013.0,jalisco
mazamitla,201.00,"1,420.60","10,683.82",2013.0,jalisco
mixtlan,0.00,0.00,0.00,2013.0,jalisco
ocotlan,0.10,0.10,1.67,2013.0,jalisco
pihuamo,0.00,0.00,0.00,2013.0,jalisco
puerto vallarta,16.00,64.00,562.71,2013.0,jalisco
quitupan,361.50,"2,558.77","19,649.91",2013.0,jalisco
san cristobal de la barranca,4.00,48.00,114.60,2013.0,jalisco
san gabriel,338.35,"3,230.09","26,652.66",2013.0,jalisco
san juanito de escobedo,0.00,0.00,0.00,2013.0,jalisco
san pedro tlaquepaque,8.00,78.40,497.84,2013.0,jalisco
san sebastian del oeste,5.00,35.00,560.00,2013.0,jalisco
santa maria de los angeles,10.00,68.00,822.80,2013.0,jalisco
sayula,449.29,"4,897.26","53,439.24",2013.0,jalisco
tala,12.00,93.00,"1,440.00",2013.0,jalisco
talpa de allende,25.00,225.00,"3,877.50",2013.0,jalisco
tamazula de gordiano,415.00,"3,630.00","51,984.60",2013.0,jalisco
tapalpa,662.40,"7,120.80","47,612.59",2013.0,jalisco
tecalitlan,0.00,0.00,0.00,2013.0,jalisco
techaluta de montenegro,3.00,17.10,145.35,2013.0,jalisco
tecolotlan,6.00,36.00,432.00,2013.0,jalisco
tenamaxtlan,0.00,0.00,0.00,2013.0,jalisco
teocuitatlan de corona,0.00,0.00,0.00,2013.0,jalisco
tepatitlan de morelos,98.00,"1,666.00","29,988.00",2013.0,jalisco
tequila,23.00,184.00,"2,878.75",2013.0,jalisco
teuchitlan,3.50,22.00,349.40,2013.0,jalisco
tizapan el alto,0.00,0.00,0.00,2013.0,jalisco
tlajomulco de zuniga,25.00,164.50,"1,044.58",2013.0,jalisco
toliman,52.50,585.00,"4,691.88",2013.0,jalisco
tonila,390.00,"2,925.00","30,712.50",2013.0,jalisco
tototlan,25.00,515.00,"4,852.50",2013.0,jalisco
tuxcueca,3.00,45.00,441.40,2013.0,jalisco
tuxpan,787.00,"6,689.50","66,895.00",2013.0,jalisco
valle de juarez,14.00,95.20,637.20,2013.0,jalisco
villa purificacion,50.00,180.00,"2,088.00",2013.0,jalisco
zacoalco de torres,22.00,132.00,"1,230.00",2013.0,jalisco
zapopan,25.00,412.50,"1,923.40",2013.0,jalisco
zapotiltic,577.00,"4,327.50","43,275.00",2013.0,jalisco
zapotitlan de vadillo,210.00,"2,940.00","23,520.00",2013.0,jalisco
zapotlanejo,0.00,0.00,0.00,2013.0,jalisco
zapotlan el grande,"1,846.69","21,236.94","239,035.99",2013.0,jalisco
almoloya de alquisiras,492.00,"3,086.00","36,670.49",2013.0,mexico
amanalco,17.50,175.00,"1,575.00",2013.0,mexico
amatepec,35.50,252.10,"2,720.40",2013.0,mexico
atlautla,102.00,965.30,"10,547.50",2013.0,mexico
coatepec harinas,"1,796.00","26,691.00","358,894.07",2013.0,mexico
donato guerra,220.00,"2,480.00","37,100.00",2013.0,mexico
ecatzingo,34.00,279.20,"3,229.68",2013.0,mexico
ixtapan de la sal,18.00,252.00,"3,131.80",2013.0,mexico
ixtapan del oro,110.00,"1,020.00","14,240.00",2013.0,mexico
joquicingo,110.00,"2,750.00","28,326.38",2013.0,mexico
luvianos,41.00,303.40,"3,337.40",2013.0,mexico
malinalco,95.00,915.00,"10,401.25",2013.0,mexico
ocuilan,164.00,"1,822.00","20,785.00",2013.0,mexico
otzoloapan,3.00,30.00,285.00,2013.0,mexico
ozumba,30.00,251.50,"2,821.00",2013.0,mexico
san simon de guerrero,15.00,107.44,"1,230.72",2013.0,mexico
santo tomas,50.00,455.00,"4,577.30",2013.0,mexico
sultepec,40.00,180.00,"1,552.50",2013.0,mexico
tejupilco,30.00,217.50,"2,602.36",2013.0,mexico
temascaltepec,364.00,"2,743.70","33,868.41",2013.0,mexico
tenancingo,530.00,"4,560.00","52,720.02",2013.0,mexico
tepetlixpa,36.00,380.80,"4,311.58",2013.0,mexico
texcaltitlan,5.00,60.00,720.00,2013.0,mexico
valle de bravo,165.00,"2,085.00","13,410.00",2013.0,mexico
villa guerrero,224.00,"2,637.50","28,928.38",2013.0,mexico
villa de allende,130.00,"1,925.00","24,900.00",2013.0,mexico
zacazonapan,1.50,16.50,181.50,2013.0,mexico
zacualpan,4.00,32.00,328.00,2013.0,mexico
acuitzio,802.00,"7,954.00","65,987.40",2013.0,michoacan
aguililla,20.00,170.00,"1,762.00",2013.0,michoacan
apatzingan,418.82,"2,081.54","20,753.00",2013.0,michoacan
ario,"11,553.00","124,700.00","1,643,908.42",2013.0,michoacan
charapan,0.00,0.00,0.00,2013.0,michoacan
charo,5.00,17.00,139.40,2013.0,michoacan
chilchota,339.50,"2,716.00","33,930.25",2013.0,michoacan
coalcoman de vazquez pallares,200.00,"2,340.00","25,609.40",2013.0,michoacan
copandaro,2.00,11.40,92.91,2013.0,michoacan
cotija,740.00,"6,210.00","73,463.99",2013.0,michoacan
erongaricuaro,405.00,"4,860.00","62,466.11",2013.0,michoacan
hidalgo,22.00,162.80,"1,301.72",2013.0,michoacan
huiramba,67.00,603.00,"8,321.23",2013.0,michoacan
irimbo,92.00,671.60,"5,768.67",2013.0,michoacan
jiquilpan,60.00,270.00,"4,770.00",2013.0,michoacan
jungapeo,23.50,197.10,"1,849.30",2013.0,michoacan
juarez,26.00,267.80,"3,319.69",2013.0,michoacan
los reyes,"2,828.00","31,108.00","407,346.15",2013.0,michoacan
madero,362.00,"2,087.40","16,543.20",2013.0,michoacan
maravatio,6.00,38.40,422.02,2013.0,michoacan
morelia,60.00,420.00,"3,486.00",2013.0,michoacan
nuevo parangaricutiro,"6,167.00","61,670.00","851,893.10",2013.0,michoacan
ocampo,41.50,362.85,"4,448.87",2013.0,michoacan
periban,"12,378.00","136,158.00","1,714,538.26",2013.0,michoacan
purepero,54.00,432.00,"5,367.60",2013.0,michoacan
patzcuaro,183.00,"1,647.00","21,843.68",2013.0,michoacan
querendaro,3.00,27.00,243.00,2013.0,michoacan
quiroga,59.00,531.00,"7,028.19",2013.0,michoacan
salvador escalante,"12,673.00","139,843.64","1,857,820.44",2013.0,michoacan
susupuato,168.00,"1,696.80","21,000.63",2013.0,michoacan
tacambaro,"13,302.00","159,624.00","2,013,167.65",2013.0,michoacan
tancitaro,"20,760.00","206,628.25","2,870,775.53",2013.0,michoacan
tangamandapio,900.00,"9,000.00","110,100.00",2013.0,michoacan
tangancicuaro,"1,118.60","11,186.00","144,063.93",2013.0,michoacan
taretan,862.00,"8,861.36","115,556.12",2013.0,michoacan
tarimbaro,20.00,90.00,720.00,2013.0,michoacan
