año,inegi,entidad,municipio,modalidad,tipo,subtipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2011,15021,mexico,coatepec harinas,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15021,mexico,coatepec harinas,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15022,mexico,cocotitlan,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15022,mexico,cocotitlan,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15022,mexico,cocotitlan,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15022,mexico,cocotitlan,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2011,15022,mexico,cocotitlan,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15023,mexico,coyotepec,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15023,mexico,coyotepec,homicidios,dolosos,con arma de fuego,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0
2011,15023,mexico,coyotepec,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15023,mexico,coyotepec,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15023,mexico,coyotepec,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15024,mexico,cuautitlan,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15024,mexico,cuautitlan,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011,15024,mexico,cuautitlan,homicidios,dolosos,con arma blanca,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15024,mexico,cuautitlan,homicidios,dolosos,otros,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,15024,mexico,cuautitlan,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15025,mexico,chalco,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15025,mexico,chalco,homicidios,dolosos,con arma de fuego,4.0,3.0,2.0,0.0,6.0,2.0,3.0,7.0,4.0,2.0,3.0,4.0
2011,15025,mexico,chalco,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
2011,15025,mexico,chalco,homicidios,dolosos,otros,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2011,15025,mexico,chalco,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15026,mexico,chapa de mota,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
