entidad,inegi,año,municipio,tipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
mexico,15001,2012,acambay,extorsion,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15001,2012,acambay,homicidio,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0
mexico,15001,2013,acambay,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15001,2013,acambay,homicidio,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mexico,15001,2014,acambay,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15001,2014,acambay,homicidio,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15002,2011,acolman,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15002,2011,acolman,homicidio,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0
mexico,15002,2012,acolman,extorsion,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
mexico,15002,2012,acolman,homicidio,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0
mexico,15002,2013,acolman,extorsion,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
mexico,15002,2013,acolman,homicidio,1.0,2.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0
mexico,15002,2014,acolman,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
mexico,15002,2014,acolman,homicidio,3.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,2.0,2.0,2.0
mexico,15003,2011,aculco,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15003,2011,aculco,homicidio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mexico,15003,2012,aculco,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15003,2012,aculco,homicidio,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15003,2013,aculco,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
