entidad,inegi,año,municipio,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
mexico,15009,2011,amecameca,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
mexico,15009,2012,amecameca,4.0,1.0,1.0,0.0,4.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0
mexico,15009,2013,amecameca,0.0,5.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0
mexico,15009,2014,amecameca,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0
mexico,15009,2015,amecameca,3.0,5.0,3.0,5.0,3.0,0.0,1.0,3.0,2.0,3.0,2.0,3.0
mexico,15009,2016,amecameca,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,3.0
mexico,15009,2017,amecameca,0.0,3.0,4.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0
mexico,15009,2018,amecameca,0.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,1.0
mexico,15009,2019,amecameca,2.0,1.0,0.0,2.0,0.0,3.0,4.0,6.0,1.0,1.0,2.0,2.0
mexico,15010,2011,apaxco,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
mexico,15010,2012,apaxco,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
mexico,15010,2013,apaxco,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
mexico,15010,2014,apaxco,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
mexico,15010,2015,apaxco,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
mexico,15010,2016,apaxco,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15010,2017,apaxco,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
mexico,15010,2018,apaxco,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0
mexico,15010,2019,apaxco,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
mexico,15011,2011,atenco,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
mexico,15011,2012,atenco,0.0,2.0,4.0,4.0,2.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0
mexico,15011,2013,atenco,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
mexico,15011,2014,atenco,1.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
mexico,15011,2015,atenco,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0
mexico,15011,2016,atenco,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0
mexico,15011,2017,atenco,0.0,2.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,0.0
mexico,15011,2018,atenco,4.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0
mexico,15011,2019,atenco,0.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0
mexico,15012,2011,atizapan,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mexico,15012,2012,atizapan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mexico,15012,2013,atizapan,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15012,2014,atizapan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
mexico,15012,2015,atizapan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mexico,15012,2016,atizapan,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15012,2017,atizapan,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
