				
2011			
Jalisco			
La Manzanilla de la Paz	103.30	596.05	4,068.58
Magdalena	9.00	85.50	1,341.50
Mascota	26.00	234.00	3,503.40
Mazamitla	201.00	1,420.60	10,683.82
Mixtlán	0.00	0.00	0.00
Ocotlán	0.10	0.10	1.67
Pihuamo	0.00	0.00	0.00
Puerto Vallarta	16.00	64.00	562.71
Quitupan	361.50	2,558.77	19,649.91
San Cristóbal de La Barranca	4.00	48.00	114.60
San Gabriel	338.35	3,230.09	26,652.66
San Juanito de Escobedo	0.00	0.00	0.00
San Pedro Tlaquepaque	8.00	78.40	497.84
San Sebastián del Oeste	5.00	35.00	560.00
Santa María de Los Ángeles	10.00	68.00	822.80
Sayula	449.29	4,897.26	53,439.24
Tala	12.00	93.00	1,440.00
Talpa de Allende	25.00	225.00	3,877.50
Tamazula de Gordiano	415.00	3,630.00	51,984.60
Tapalpa	662.40	7,120.80	47,612.59
Tecalitlán	0.00	0.00	0.00
Techaluta de Montenegro	3.00	17.10	145.35
Tecolotlán	6.00	36.00	432.00
Tenamaxtlán	0.00	0.00	0.00
Teocuitatlán de Corona	0.00	0.00	0.00
Tepatitlán de Morelos	98.00	1,666.00	29,988.00
Tequila	23.00	184.00	2,878.75
Teuchitlán	3.50	22.00	349.40
Tizapán El Alto	0.00	0.00	0.00
Tlajomulco de Zúñiga	25.00	164.50	1,044.58
Tolimán	52.50	585.00	4,691.88
Tonila	390.00	2,925.00	30,712.50
Totatiche	2.00	14.40	171.36
Tototlán	25.00	515.00	4,852.50
Tuxcueca	3.00	45.00	441.40
Tuxpan	787.00	6,689.50	66,895.00
Valle de Juárez	14.00	95.20	637.20
Villa Guerrero	2.00	15.00	178.50
Villa Purificación	50.00	180.00	2,088.00
Zacoalco de Torres	22.00	132.00	1,230.00
Zapopan	25.00	412.50	1,923.40
Zapotiltic	577.00	4,327.50	43,275.00
Zapotitlán de Vadillo	210.00	2,940.00	23,520.00
Zapotlanejo	0.00	0.00	0.00
Zapotlán el Grande	1,846.69	21,236.94	239,035.99
México			
Almoloya de Alquisiras	492.00	3,086.00	36,670.49
Amanalco	17.50	175.00	1,575.00
Amatepec	35.50	252.10	2,720.40
Atlautla	102.00	965.30	10,547.50
Coatepec Harinas	1,796.00	26,691.00	358,894.07
Donato Guerra	220.00	2,480.00	37,100.00
Ecatzingo	34.00	279.20	3,229.68
Ixtapan de La Sal	18.00	252.00	3,131.80
Ixtapan del Oro	110.00	1,020.00	14,240.00
Joquicingo	110.00	2,750.00	28,326.38
Luvianos	41.00	303.40	3,337.40
Malinalco	95.00	915.00	10,401.25
Ocuilan	164.00	1,822.00	20,785.00
Otzoloapan	3.00	30.00	285.00
Ozumba	30.00	251.50	2,821.00
San Simón de Guerrero	15.00	107.44	1,230.72
Santo Tomás	50.00	455.00	4,577.30
Sultepec	40.00	180.00	1,552.50
Tejupilco	30.00	217.50	2,602.36
Temascaltepec	364.00	2,743.70	33,868.41
Tenancingo	530.00	4,560.00	52,720.02
Tepetlixpa	36.00	380.80	4,311.58
Texcaltitlán	5.00	60.00	720.00
Valle de Bravo	165.00	2,085.00	13,410.00
Villa Guerrero	224.00	2,637.50	28,928.38
Villa de Allende	130.00	1,925.00	24,900.00
Zacazonapan	1.50	16.50	181.50
Zacualpan	4.00	32.00	328.00
Michoacán			
Acuitzio	802.00	7,954.00	65,987.40
Aguililla	20.00	170.00	1,762.00
Apatzingán	418.82	2,081.54	20,753.00
Ario	11,553.00	124,700.00	1,643,908.42
Charapan	0.00	0.00	0.00
Charo	5.00	17.00	139.40
Chilchota	339.50	2,716.00	33,930.25
Coalcomán de Vázquez Pallares	200.00	2,340.00	25,609.40
Copándaro	2.00	11.40	92.91
Cotija	740.00	6,210.00	73,463.99
Erongarícuaro	405.00	4,860.00	62,466.11
Hidalgo	22.00	162.80	1,301.72
Huiramba	67.00	603.00	8,321.23
Irimbo	92.00	671.60	5,768.67
Jiquilpan	60.00	270.00	4,770.00
Jungapeo	23.50	197.10	1,849.30
Juárez	26.00	267.80	3,319.69
Los Reyes	2,828.00	31,108.00	407,346.15
