entidad,inegi,año,municipio,month,crimes,xmonth,pop,educ,crime_pc
mexico,15080,2013,sultepec,octubre,0.0,34,24145,7.13,0.0
mexico,15080,2014,sultepec,octubre,0.0,46,24145,7.13,0.0
mexico,15080,2015,sultepec,octubre,0.0,58,24145,7.13,0.0
mexico,15080,2016,sultepec,octubre,1.0,70,24145,7.13,4.141644232760406
mexico,15080,2017,sultepec,octubre,0.0,82,24145,7.13,0.0
mexico,15080,2018,sultepec,octubre,0.0,94,24145,7.13,0.0
mexico,15080,2019,sultepec,octubre,0.0,106,24145,7.13,0.0
mexico,15081,2011,tecamac,octubre,3.0,10,547503,10.99,0.5479422030564216
mexico,15081,2012,tecamac,octubre,5.0,22,547503,10.99,0.913237005094036
mexico,15081,2013,tecamac,octubre,9.0,34,547503,10.99,1.643826609169265
mexico,15081,2014,tecamac,octubre,7.0,46,547503,10.99,1.2785318071316503
mexico,15081,2015,tecamac,octubre,11.0,58,547503,10.99,2.009121411206879
mexico,15081,2016,tecamac,octubre,14.0,70,547503,10.99,2.5570636142633005
mexico,15081,2017,tecamac,octubre,11.0,82,547503,10.99,2.009121411206879
mexico,15081,2018,tecamac,octubre,9.0,94,547503,10.99,1.643826609169265
mexico,15081,2019,tecamac,octubre,21.0,106,547503,10.99,3.8355954213949515
mexico,15082,2011,tejupilco,octubre,0.0,10,79282,8.56,0.0
mexico,15082,2012,tejupilco,octubre,0.0,22,79282,8.56,0.0
mexico,15082,2013,tejupilco,octubre,0.0,34,79282,8.56,0.0
mexico,15082,2014,tejupilco,octubre,0.0,46,79282,8.56,0.0
mexico,15082,2015,tejupilco,octubre,1.0,58,79282,8.56,1.2613203501425292
mexico,15082,2016,tejupilco,octubre,0.0,70,79282,8.56,0.0
mexico,15082,2017,tejupilco,octubre,1.0,82,79282,8.56,1.2613203501425292
mexico,15082,2018,tejupilco,octubre,0.0,94,79282,8.56,0.0
mexico,15082,2019,tejupilco,octubre,0.0,106,79282,8.56,0.0
mexico,15083,2011,temamatla,octubre,0.0,10,14130,9.82,0.0
mexico,15083,2012,temamatla,octubre,0.0,22,14130,9.82,0.0
mexico,15083,2013,temamatla,octubre,0.0,34,14130,9.82,0.0
