entidad,inegi,año,municipio,month,homicides,xmonth
mexico,15109,2011,tultitlan,enero,8.0,1
mexico,15109,2012,tultitlan,enero,6.0,13
mexico,15109,2013,tultitlan,enero,7.0,25
mexico,15109,2014,tultitlan,enero,7.0,37
mexico,15110,2011,valle de bravo,enero,1.0,1
mexico,15110,2012,valle de bravo,enero,0.0,13
mexico,15110,2013,valle de bravo,enero,0.0,25
mexico,15110,2014,valle de bravo,enero,8.0,37
mexico,15111,2011,villa de allende,enero,0.0,1
mexico,15111,2012,villa de allende,enero,0.0,13
mexico,15111,2013,villa de allende,enero,1.0,25
mexico,15111,2014,villa de allende,enero,0.0,37
mexico,15112,2011,villa del carbon,enero,0.0,1
mexico,15112,2012,villa del carbon,enero,0.0,13
mexico,15112,2013,villa del carbon,enero,0.0,25
mexico,15112,2014,villa del carbon,enero,0.0,37
mexico,15113,2011,villa guerrero,enero,0.0,1
mexico,15113,2012,villa guerrero,enero,2.0,13
mexico,15113,2013,villa guerrero,enero,0.0,25
mexico,15113,2014,villa guerrero,enero,0.0,37
mexico,15114,2011,villa victoria,enero,0.0,1
mexico,15114,2012,villa victoria,enero,0.0,13
mexico,15114,2013,villa victoria,enero,1.0,25
mexico,15114,2014,villa victoria,enero,0.0,37
mexico,15115,2011,xonacatlan,enero,1.0,1
mexico,15115,2012,xonacatlan,enero,0.0,13
mexico,15115,2013,xonacatlan,enero,0.0,25
mexico,15115,2014,xonacatlan,enero,0.0,37
mexico,15116,2011,zacazonapan,enero,0.0,1
mexico,15116,2012,zacazonapan,enero,0.0,13
mexico,15116,2013,zacazonapan,enero,0.0,25
mexico,15116,2014,zacazonapan,enero,0.0,37
mexico,15117,2011,zacualpan,enero,0.0,1
mexico,15117,2012,zacualpan,enero,0.0,13
mexico,15117,2013,zacualpan,enero,0.0,25
mexico,15117,2014,zacualpan,enero,1.0,37
mexico,15118,2011,zinacantepec,enero,0.0,1
mexico,15118,2012,zinacantepec,enero,1.0,13
mexico,15118,2013,zinacantepec,enero,3.0,25
mexico,15118,2014,zinacantepec,enero,0.0,37
mexico,15119,2011,zumpahuacan,enero,0.0,1
mexico,15119,2012,zumpahuacan,enero,0.0,13
mexico,15119,2013,zumpahuacan,enero,1.0,25
mexico,15119,2014,zumpahuacan,enero,0.0,37
mexico,15120,2011,zumpango,enero,0.0,1
mexico,15120,2012,zumpango,enero,1.0,13
mexico,15120,2013,zumpango,enero,2.0,25
mexico,15120,2014,zumpango,enero,0.0,37
mexico,15121,2011,cuautitlan izcalli,enero,8.0,1
mexico,15121,2012,cuautitlan izcalli,enero,8.0,13
mexico,15121,2013,cuautitlan izcalli,enero,3.0,25
mexico,15121,2014,cuautitlan izcalli,enero,9.0,37
mexico,15122,2011,valle de chalco solidaridad,enero,6.0,1
mexico,15122,2012,valle de chalco solidaridad,enero,3.0,13
mexico,15122,2013,valle de chalco solidaridad,enero,6.0,25
mexico,15122,2014,valle de chalco solidaridad,enero,2.0,37
mexico,15123,2011,luvianos,enero,0.0,1
mexico,15123,2012,luvianos,enero,0.0,13
mexico,15123,2013,luvianos,enero,1.0,25
mexico,15123,2014,luvianos,enero,0.0,37
