año,clave_ent,entidad,cve. municipio,municipio,bien jurídico afectado,tipo de delito,subtipo de delito,modalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2015,14,jalisco,14022,cihuatlán,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,14,jalisco,14022,cihuatlán,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14022,cihuatlán,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14022,cihuatlán,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14022,cihuatlán,el patrimonio,extorsión,extorsión,extorsión,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015,14,jalisco,14023,zapotlán el grande,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,1,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2015,14,jalisco,14023,zapotlán el grande,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
2015,14,jalisco,14023,zapotlán el grande,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
2015,14,jalisco,14023,zapotlán el grande,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14023,zapotlán el grande,el patrimonio,extorsión,extorsión,extorsión,1,4,2.0,0.0,5.0,0.0,8.0,2.0,2.0,2.0,1.0,0.0
2015,14,jalisco,14024,cocula,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14024,cocula,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14024,cocula,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
